央视,#genre#
CCTV1,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227479/index.m3u8
CCTV1,http://58.48.37.158:1111/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227477/index.m3u8
CCTV2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV2,http://218.3.138.25:1111/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://58.48.37.158:1111/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://123.138.216.44:9902/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://58.48.37.158:1111/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227435/index.m3u8
CCTV4,http://58.48.37.158:1111/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://124.165.251.82:9999/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227373/index.m3u8
CCTV5,http://218.3.138.25:1111/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://124.165.251.82:9999/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227491/index.m3u8
CCTV5+,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227493/index.m3u8
CCTV6,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227431/index.m3u8
CCTV6,http://mobilelive-ds.ysp.cctv.cn/ysp/2013693901.m3u8
CCTV6,http://mtw.so/62HqWM
CCTV6,https://epg.pw/stream/c2a78d34141bd7ad12b19b2ab7f3f60f2b8a4c3bdd5c573889aad5bc3b331fe1.m3u8
CCTV6,http://58.48.37.158:1111/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://123.138.216.44:9902/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227429/index.m3u8
CCTV8,http://123.138.216.44:9902/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://61.54.14.232:9801/tsfile/live/1008_1.m3u8
CCTV8,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227427/index.m3u8
CCTV8,http://58.48.37.158:1111/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://123.138.216.44:9902/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://58.48.37.158:1111/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=
CCTV9,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227425/index.m3u8
CCTV10,http://61.54.14.232:9801/tsfile/live/1010_1.m3u8
CCTV10,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227375/index.m3u8
CCTV10,http://123.138.216.44:9902/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://58.48.37.158:1111/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://123.138.216.44:9902/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://58.48.37.158:1111/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227922/index.m3u8
CCTV12,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227377/index.m3u8
CCTV12,http://58.48.37.158:1111/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227926/index.m3u8
CCTV14,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227379/index.m3u8
CCTV15,http://123.138.216.44:9902/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227933/index.m3u8
CGTN,https://epg.pw/stream/cf44a2785c7168d1328f507a814e036ac817c9c7890dfe0e909eb383609ebcc6.m3u8
CGTN法语,https://francais-livews.cgtn.com/hls/LSvev95OuFZtKLc6CeKEFYXj220802LSTeV6PO0Ut9r71Uq3k5goCA220802cd/playlist.m3u8
CGTN阿拉伯语,https://arabic-livews.cgtn.com/hls/LSveq57bErWLinBnxosqjisZ220802LSTefTAS9zc9mpU08y3np9TH220802cd/playlist.m3u8

卫视,#genre#
亚洲卫视,https://play-hsbj.vzan.com/slowlive/821481626725612417/live.m3u8?zbid=2046370057&tpid=330913109&type=0
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江卫视,http://116.21.121.116:4433/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
东南卫视,http://123.138.216.44:9902/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://123.182.60.29:9002/hls/29/index.m3u8
东南卫视,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227353/index.m3u8
东方卫视,http://123.182.60.29:9002/hls/41/index.m3u8
北京卫视,http://58.51.111.46:1111/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://123.182.60.29:9002/hls/22/index.m3u8
北京卫视,http://61.54.14.232:9801/tsfile/live/1020_1.m3u8
四川卫视,http://123.138.216.44:9902/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://123.182.60.29:9002/hls/36/index.m3u8
四川卫视,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227417/index.m3u8
天津卫视,http://123.182.60.29:9002/hls/23/index.m3u8
安徽卫视,http://61.54.14.232:9801/tsfile/live/1024_1.m3u8
安徽卫视,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227363/index.m3u8
山东卫视,http://123.182.60.29:9002/hls/32/index.m3u8
江苏卫视,http://123.138.216.44:9902/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://58.51.111.46:1111/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227399/index.m3u8
河南卫视,http://58.51.111.46:1111/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://123.138.216.44:9902/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://123.182.60.29:9002/hls/34/index.m3u8
河南卫视,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227923/index.m3u8
湖北卫视,http://58.51.111.46:1111/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227367/index.m3u8
湖南卫视,http://123.182.60.29:9002/hls/30/index.m3u8
湖南卫视,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227369/index.m3u8
贵州卫视,http://123.138.216.44:9902/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://123.182.60.29:9002/hls/38/index.m3u8
贵州卫视,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227357/index.m3u8
辽宁卫视,http://iptv.10086.fund:23334/PLTV/88888888/224/3221227345/index.m3u8
重庆卫视,http://123.182.60.29:9002/hls/42/index.m3u8
兵团卫视,http://mobilelive-ds.ysp.cctv.cn/ysp/2022606701.m3u8
兵团卫视,http://mobilelive-ds.ysp.cctv.cn/ysp/2022606701_fhd.m3u8
兵团卫视,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2022606701/timeshift.m3u8?delay=0
兵团卫视,https://liveout.btzx.com.cn/62ds9e/yil08g.m3u8

其它,#genre#
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
青田新闻综合,http://l.cztvcloud.com/channels/lantian/SXqingtian1/720p.m3u8
亲亲20音乐,http://61.221.215.25:8800/hls/49/index.m3u8
CGTN Espanol 西语,http://livees.cgtn.com/1000e/prog_index.m3u8
HKS, https://ott-iptv.top/shanxi/hks.php
半岛新闻,http://live-hls-web-aje.getaj.net/AJE/01.m3u8
金砖英文,http://brics.bonus-tv.ru/cdn/brics/english/tracks-v1a1/index.m3u8
天映经典,http://13457610200.8866.org:2018/live/天映频道HD/index.m3u8
南京新闻综合,https://epg.pw/stream/fa5f1fadc29be3aab195dfa0fb13f94dc6427671aa6cae16dd5ff85e12254027.m3u8
广安新闻综合,http://live1.gatv.com.cn:85/live/XWZH.m3u8
中国蓝新闻,http://ali-m-l.cztv.com/channels/lantian/channel009/1080p.m3u8
数码时代,http://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
余杭综合频道,http://l.cztvcloud.com/channels/lantian/SXyuhang1/720p.m3u8?zzhed
余杭未来E频道,http://l.cztvcloud.com/channels/lantian/SXyuhang3/720p.m3u8?zzhed
余姚新闻综合,http://l.cztvcloud.com/channels/lantian/SXyuyao1/720p.m3u8?zzhed
诸暨新闻综合,http://l.cztvcloud.com/channels/lantian/SXzhuji3/720p.m3u8?zzhed
